Date,Startup,Industry,Location,Investors,Investment_Type, Amount_USD 
28-03-17,DoneThing,Consumer Internet,Gurgaon,Brand Capital,Private Equity,"3,00,000"
29-03-17,Ithaka,Consumer Internet,Mumbai,"Ankit Gupta, Puneet Motihar",Seed Funding,"3,25,000"
29-03-17,perpule,eCommerce,Bangalore,KStart Capital,Seed Funding,"6,50,000"
29-03-17,Licious,ECommerce,Bangalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,"1,00,00,000"
29-03-17,Medinfi,Consumer Internet,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,50000
31-03-17,Jhakaas,Consumer Internet,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed Funding,"1,55,000"
31-03-17,Oriano Solar,Technology,Mumbai,Samridhi Fund,Private Equity,"30,00,000"
31-03-17,BigBasket,ECommerce,Bangalore,Trifecta Capital,Private Equity,"70,00,000"
31-03-17,Icertis,Technology,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures,\\xc2\\xa0 Eight Roads Ventures",Private Equity,"2,50,00,000"
01-04-17,Cashe,Consumer Internet,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,"38,00,000"
03-04-17,Eruditus,Education,Mumbai,Bertelsmann India,Private Equity,"82,00,000"
03-04-17,Healthcare at Home,Healthcare,Noida,Quadria Capital Advisors,Private Equity,"4,00,00,000"
04-04-17,WayCool,Food & Beverage,Chennai,Aspada Investments,Private Equity,"27,00,000"
04-04-17,Perfios,Technology,Bangalore,Bessemer Venture Partners,Private Equity,"61,00,000"
04-04-17,Whatfix,Technology,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,"36,90,000"
04-04-17,ElastiRun,Technology,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,"70,00,000"
04-04-17,Trukky,Consumer Internet,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,"5,00,000"
04-04-17,Konsult App,Consumer Internet,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,"5,00,000"
05-04-17,Fingerlix,Consumer Internet,Mumbai,Zephyr Peacock India,Private Equity,"30,00,000"
06-04-17,Medwell Ventures,Healthcare,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"2,10,00,000"
06-04-17,Mech Mocha,Consumer Internet,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,"50,00,000"
07-04-17,PharmEasy,eCommerce,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,"1,80,00,000"
08-04-17,FastFox,Consumer Internet,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,"46,00,000"
10-04-17,Omnify,Technology,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,"1,50,000"
10-04-17,Capital Float,Consumer Internet,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,"23,00,000"
11-04-17,Ninjacart,eCommerce,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,"55,00,000"
11-04-17,MergerWare,Technology,Bangalore,Philippe Bouchet,Seed Funding,"1,00,000"
12-04-17,Clovia,eCommerce,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,"40,00,000"
12-04-17,Emiza,Logistics,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,"45,00,000"
12-04-17,HackerEarth,Consumer Internet,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,"45,00,000"
12-04-17,Squadrun,Technology,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,"21,00,000"
13-04-17,WeAreHolidays,Consumer Internet,Gurgaon,"Urrshila Kerkar,",Private Equity,"77,00,000"
14-04-17,Ola Cabs,Consumer Internet,Bangalore,SIMI Pacific Pte,Private Equity,"26,00,00,000"
15-04-17,Myly,Consumer Internet,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,"3,10,000"
17-04-17,CrediHealth,Consumer Internet,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,"15,00,000"
17-04-17,Snackible,Food & Beverages,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,"1,75,000"
17-04-17,Be U Salons,Consumer Internet,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,"6,20,000"
17-04-17,LendingKart,Consumer Internet,Ahmedabad,Anicut Capital,Private Equity,"46,50,000"
18-04-17,Innefu Security Consulting,Technology,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,"20,00,000"
18-04-17,Whodat,Technology,Bangalore,Ideaspring Capital,Private Equity,"6,00,000"
18-04-17,Absentia VR,Technology,Bangalore,Exfinity Venture Partners,Private Equity,"12,50,000"
19-04-17,IOTrek,Technology,New Delhi,Undisclosed Investor,Seed Funding,"1,55,000"
20-04-17,HolaChef,Consumer Internet,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,"30,00,000"
21-04-17,Video Ken,Consumer Internet,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,"10,00,000"
24-04-17,Faasos,Food & Beverage,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,"63,00,000"
24-04-17,Oyo Rooms,Consumer Internet,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,"25,00,00,000"
24-04-17,Toppr,Consumer Internet,Mumbai,WGG International,Private Equity,"32,00,000"
25-04-17,The Office Pass,Consumer Internet,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,"2,45,000"
25-04-17,UrbanClap,Consumer Internet,Gurgaon,Trifecta Capital,Private Equity,"31,00,000"
26-04-17,Awfis,Consumer Internet,Mumbai,Sequoia India,Private Equity,"2,00,00,000"
26-04-17,Flytxt,Technology,Mumbai,DAH Beteiligungs GmbH,Private Equity,"1,10,00,000"
26-04-17,Howdy Ventures,Consumer Internet,Chennai,S. Xavier Britto,Seed Funding,"15,00,000"
26-04-17,StalkBuyLove,eCommerce,New Delhi,Trifecta Capital,Private Equity,"10,00,000"
27-04-17,Scootsy,Consumer Internet,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,"36,00,000"
27-04-17,iNurture,Consumer Internet,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,"15,00,000"
28-04-17,Sepalika,Consumer Internet,New Delhi,Accel Partners,Seed Funding,"7,50,000"
01-05-17,Ace2three,Consumer Internet,Hyderabad,Clairvest Group,Private Equity,"7,37,00,000"
01-05-17,Power2SME,eCommerce,Gurgaon,International Finance Corporation,Private Equity,"1,00,00,000"
02-05-17,Innovapptive,Technology,Hyderabad,Hyderabad Angels,Seed Funding,"15,00,000"
02-05-17,4tigo,Logistics,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,"1,00,00,000"
02-05-17,ZippServe,Consumer Internet,Bangalore,undisclosed investors,Seed Funding,"3,90,000"
03-05-17,Ola,Consumer Internet,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,"10,45,00,000"
03-05-17,Sumeru,Technology,Bangalore,undisclosed investors,Seed Funding,"10,00,000"
05-05-17,Balance App,Consumer Internet,Bangalore,Rainmatter,Seed Funding,"2,33,000"
08-05-17,YepMe,eCommerce,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,"7,00,000"
08-05-17,MyGreens,Food & Beverage,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,"10,00,000"
08-05-17,Ace Turtle,Technology,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,"50,00,000"
08-05-17,CureFit,Technology,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,"32,00,000"
09-05-17,Curie Labs,Technology,New Delhi,Satoshi Studios,Seed Funding,50000
10-05-17,Vidooly,Consumer Internet,Noida,"Times Internet, GVFL",Private Equity,"14,00,000"
10-05-17,Shopclues,eCommerce,Gurgaon,InnoVen Capital,Private Equity,"77,00,000"
10-05-17,Fourth Ambit,Consumer Internet,Bangalore,1Crowd,Seed Funding,"6,00,000"
11-05-17,Early Salary,Consumer Internet,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,"40,00,000"
12-05-17,Legal Raasta,Consumer Internet,New Delhi,Impanix Capital,Private Equity,"50,00,000"
12-05-17,Remit Guru,Consumer Internet,Mumbai,"Infibeam, CCavenue",Private Equity,"4,66,000"
12-05-17,Aequm,eCommerce,Bangalore,undisclosed investors,Seed Funding,"10,00,000"
15-05-17,Zapty,Technology,Bangalore,IdeaSpring Capital,Seed Funding,"5,00,000"
16-05-17,Telr,Technology,Mumbai,Innovations East,Private Equity,"30,00,000"
16-05-17,Fynd,eCommerce,Mumbai,Rocketship,Private Equity,"5,00,000"
17-05-17,Genie,Consumer Internet,Chennai,undisclosed investors,Seed Funding,"2,50,000"
17-05-17,Paysense,Consumer Internet,Mumbai,Jungle Ventures,Private Equity,"53,00,000"
18-05-17,The Good Life,ECommerce,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,"10,00,000"
18-05-17,Paytm,ECommerce,Bangalore,SoftBank Group,Private Equity,"1,40,00,00,000"
19-05-17,EzCred,Consumer Internet,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,"10,00,000"
22-05-17,Delhivery,Logistics,New Delhi,Fosun International,Private Equity,"3,00,00,000"
22-05-17,ZipGrid,Consumer Internet,Mumbai,"JLL, 1Crowd",Seed Funding,"5,00,000"
23-05-17,Magicpin,Consumer Internet,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,"66,00,000"
23-05-17,Box8,Consumer Internet,Mumbai,Trifecta Capital,Private Equity,"10,00,000"
24-05-17,GenNext Students,Consumer Internet,Mumbai,Undisclosed Investors,Seed Funding,"5,80,000"
25-05-17,Aye Finance,Finance,Gurgaon,Blue Orchard,Private Equity,"80,00,000"
29-05-17,Collateral Medical,eCommerce,Mumbai,Carpediem Capital,Private Equity,"35,00,000"
30-05-17,Supr Daily,Consumer Internet,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,"15,00,000"
30-05-17,Swiggy,Consumer Internet,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,"8,00,00,000"
31-05-17,SastaSundar,eCommerce,Kolkata,Rohto Pharmaceutical,Private Equity,"50,00,000"
31-05-17,Magicpin,Consumer Internet,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,"70,00,000"
02-06-17,RentOnGo,eCommerce,Bangalore,TVS Motor Company,Seed Funding,"2,34,000"
05-06-17,Goomo,Consumer Internet,Mumbai,Emerging India,Private Equity,"5,00,00,000"
06-06-17,Spinny,eCommerce,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,"10,00,000"
06-06-17,BHIVE Workspace,Consumer Internet,Bangalore,Blume Ventures,Private Equity,"12,00,000"
06-06-17,wayForward,Consumer Internet,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,"10,00,000"
07-06-17,ZipLoan,Consumer Internet,New Delhi,WaterBridge Ventures,Seed Funding,"6,50,000"
07-06-17,GrowFitter,Consumer Internet,Mumbai,SQue Capital,Seed Funding,"6,00,000"
08-06-17,Stratfit,Consumer Internet,Hyderabad,Bodhtree Consulting Limited,Seed Funding,"2,32,000"
08-06-17,Multiplier Solutions,Technology,Hyderabad,Norwest Venture Partners,Private Equity,"15,00,000"
08-06-17,ABI Health,Technology,Bangalore,Norwest Venture Partners,Private Equity,"15,00,000"
08-06-17,Stockal,Consumer Internet,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,"3,50,000"
09-06-17,Guidoo,Consumer Internet,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,"3,00,000"
09-06-17,eSahai.in,Consumer Internet,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,"2,50,000"
12-06-17,LendingKart,Consumer Internet,Ahmedabad,Yes Bank,Debt Funding,"78,00,000"
12-06-17,Boxx.ai,Technology,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,"5,00,000"
12-06-17,PeeSafe.in,Healthcare,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,"10,00,000"
12-06-17,Vista Rooms,Consumer Internet,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,"7,76,000"
12-06-17,CoverFox,Consumer Internet,Mumbai,Transamerica,Private Equity,"1,50,00,000"
13-06-17,Goodera,Technology,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,"55,00,000"
14-06-17,Ola,Consumer Internet,Bangalore,Tekne Capital Management LLC,Private Equity,"5,00,00,000"
14-06-17,MrNeeds,Consumer Internet,Noida,undisclosed investors,Seed Funding,"5,00,000"
15-06-17,MoneyTap,Consumer Internet,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,"1,23,00,000"
16-06-17,Goodbox,eCommerce,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,"10,00,000"
16-06-17,Fincash,Consumer Internet,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,"1,00,000"
16-06-17,PortDesk,Technology,Noida,Alphard Maritime Group,Seed Funding,"20,00,000"
19-06-17,Unbxd,Technology,Bangalore,Eight Roads Ventures,Private Equity,"1,25,00,000"
19-06-17,DarwinBox,Technology,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,"40,00,000"
20-06-17,ForeverShop,Consumer Internet,Bangalore,91maker.com,Seed Funding,"3,00,000"
20-06-17,Insider.in,Consumer Internet,Mumbai,Paytm,Private Equity,"52,00,000"
21-06-17,Fynd,eCommerce,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,"24,00,000"
21-06-17,Grow Fit,Consumer Internet,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,"45,00,000"
21-06-17,Fabulyst,Technology,Hyderabad,iBhubs,Seed Funding,"2,15,000"
21-06-17,mSwipe,Technology,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,"3,10,00,000"
22-06-17,Julia Computing,Technology,Bangalore,"General Catalyst, Founder Collective",Private Equity,"46,00,000"
22-06-17,Kissht,Consumer Internet,Mumbai,"Endiya Partners, Ventureast",Private Equity,"20,00,000"
22-06-17,Explore Life traveling,Consumer Internet,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,"5,00,000"
23-06-17,Loantap,Consumer Internet,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,"40,00,000"
23-06-17,Voxweb,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,"10,00,000"
26-06-17,HUG Innovations,Technology,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,"50,00,000"
26-06-17,Flipkart,eCommerce,Bangalore,Naspers,Private Equity,"7,10,00,000"
26-06-17,V Resorts,Consumer Internet,Noida,"Seedfund, RB International",Private Equity,"40,00,000"
27-06-17,Stashfin,Consumer Internet,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,"50,00,000"
27-06-17,Spares Hub,eCommerce,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,"3,11,000"
28-06-17,Rubique,Consumer Internet,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,"30,00,000"
28-06-17,Niki.ai,Consumer Internet,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,"20,00,000"
29-06-17,Fitpass,Consumer Internet,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,"10,00,000"
30-06-17,Tagos Design,Technology,Bangalore,Undisclosed Investors,Private Equity,"50,00,000"
30-06-17,UrbanClap,Consumer Internet,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,"2,10,00,000"
01-07-17,Billion Loans,Consumer Internet,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,"10,00,000"
03-07-17,Ecolibriumenergy,Technology,Ahmedabad,"Infuse Ventures, JLL",Private Equity,"26,00,000"
04-07-17,Droom,eCommerce,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,"2,00,00,000"
05-07-17,Jumbotail,eCommerce,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,"85,00,000"
05-07-17,Moglix,eCommerce,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,"1,20,00,000"
05-07-17,Timesaverz,Consumer Internet,Mumbai,BCCL,Private Equity,"10,00,000"
07-07-17,Clip App,Consumer Internet,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,"10,00,000"
10-07-17,Autorox.co,Technology,Hyderabad,Mitsui & Co.,Private Equity,"30,00,000"
11-07-17,Fabogo,Consumer Internet,Pune,Dunamis Ventures Pte Ltd,Private Equity,"22,50,000"
11-07-17,Flickstree,Consumer Internet,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,"4,64,000"
12-07-17,Innoviti,Technology,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,"1,85,00,000"
14-07-17,QwikSpec,Technology,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,"5,40,000"
14-07-17,Chumbak,eCommerce,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,"17,00,000"
17-07-17,Increff,Technology,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,"20,00,000"
17-07-17,Vayana,Technology,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,"40,00,000"
19-07-17,Rentomojo,Consumer Internet,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,"1,00,00,000"
19-07-17,Playablo,Technology,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,"6,00,000"
20-07-17,Trupay,Technology,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,"7,00,000"
21-07-17,Brick2Wall,eCommerce,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,"2,00,000"
25-07-17,Noticeboard,Consumer Internet,Bangalore,"Stellaris Venture Partners,",Private Equity,"12,00,000"
25-07-17,Byju\\xe2\\x80\\x99s,Consumer Internet,Bangalore,Tencent Holdings,Private Equity,"3,50,00,000"
26-07-17,Fab Hotels,Consumer Internet,New Delhi,Goldman Sachs,Private Equity,"2,50,00,000"
26-07-17,ThinkerBell,Consumer Internet,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,"2,00,000"
27-07-17,1mg,eCommerce,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,"1,50,00,000"
28-07-17,BigStylist,Consumer Internet,Mumbai,Info Edge (India) Ltd,Private Equity,"12,50,000"
01-08-17,TouchKin,Technology,Bangalore,Kae Capital,Private Equity,"13,00,000"
02-08-17,Zepo,Consumer Internet,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,"5,00,000"
02-08-17,Click2Clinic,Consumer Internet,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,"8,50,000"
03-08-17,SpeedBox,Logistics,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,"3,00,000"
08-08-17,New Castle Technologies,Technology,Chennai,Undisclosed investors,Seed Funding,"2,43,000"
08-08-17,My Forex Eye,Consumer Internet,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,"2,20,000"
09-08-17,TruxApp,Logistics,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,"31,00,000"
09-08-17,CroFarm,Technology,Gurgaon,Factor[e] Ventures,Seed Funding,"7,83,000"
11-08-17,Flipkart,eCommerce,Bangalore,Softbank,Private Equity,"2,50,00,00,000"
11-08-17,Ola Cabs,Consumer Internet,Gurgaon,Tekne Capital Management,Private Equity,"3,60,00,000"
14-08-17,Digilend,Technology,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,"3,12,000"
15-08-17,KNAB Finance,Consumer Internet,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,"3,85,000"
20-08-17,Rootefy,eCommerce,New Delhi,"Abhinav Gupta,",Seed Funding,"1,87,000"
21-08-17,Uniphore,Technology,Chennai,IDG Ventures,Private Equity,"68,00,000"
21-08-17,Cerebroz,Consumer Internet,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,"7,34,000"
23-08-17,Dhruva,Technology,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,"8,00,00,000"
23-08-17,Bombay Shaving Company,eCommerce,New Delhi,Fireside Ventures,Private Equity,"23,00,000"
23-08-17,Indiez,Technology,Bangalore,Haresh Chawla,Seed Funding,"5,00,000"
24-08-17,Ezetap,Technology,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,"1,60,00,000"
25-08-17,Ink Monk,Consumer Internet,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,"7,50,000"
25-08-17,Medinfi,Consumer Internet,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,"1,25,000"
28-08-17,Mobikon,Technology,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,"70,00,000"
29-08-17,CureFit,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,"2,50,00,000"
29-08-17,Doxper,Technology,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,"7,50,000"
30-08-17,Treebo,Consumer Internet,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,"3,40,00,000"
30-08-17,MedGenome,Technology,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,"3,00,00,000"
01-09-17,Aahaa Stores,eCommece,Chennai,YourNest Angel Fund,Private Equity,"10,00,000"
01-09-17,MFine,Consumer Internet,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,"15,00,000"
01-09-17,Canvera,Consumer Internet,Mumbai,InfoEdge,Private Equity,"13,00,000"
04-09-17,PrimaryIO,Technology,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,"56,00,000"
05-09-17,Shubh Loans,Consumer Internet,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,"15,00,000"
05-09-17,Nest Education,Technology,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,"6,00,000"
06-09-17,Lending Kart,Consumer Internet,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,"1,07,50,000"
06-09-17,GoFro,Consumer Internet,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,"1,00,00,000"
06-09-17,OncoStem,Healthcare,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,"60,00,000"
06-09-17,Power2SME,eCommerce,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,"2,60,00,000"
07-09-17,Credit Vidya,Consumer Internet,Mumbai,Matrix Partners,Private Equity,"50,00,000"
07-09-17,OYO Rooms,Consumer Internet,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,"25,00,00,000"
07-09-17,Early Salary,Consumer Internet,Pune,IFMR Capital,Debt Funding,"7,80,000"
07-09-17,Seniority,eCommerce,Pune,RPG Enterprises,Private Equity,"10,00,000"
08-09-17,AYE Finance,Consumer Internet,New Delhi,"Triodos Investment Management,",Debt Funding,"69,00,000"
11-09-17,Ecom Express,Logistics,New Delhi,Warburg Pincus,Private Equity,"3,00,00,000"
11-09-17,Call Health,Consumer Internet,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,"62,00,000"
12-09-17,3HCare,Consumer Internet,New Delhi,Undisclosed Investor,Seed Funding,"1,00,000"
12-09-17,Tonbo Imaging,Technology,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,"1,70,00,000"
12-09-17,Get My Parking,Consumer Internet,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,"30,00,000"
13-09-17,Glowroad,Consumer Internet,Bangalore,"Accel Partners,",Private Equity,"20,00,000"
13-09-17,OYO Rooms,Consumer Internet,Gurgaon,China Lodging Group,Private Equity,"1,00,00,000"
13-09-17,Unacademy,Consumer Internet,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,"1,15,00,000"
13-09-17,Heterogenous,Technology,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,"7,80,000"
14-09-17,Smaaash,Technology,Mumbai,ECL Finance,Private Equity,"4,40,00,000"
14-09-17,WheelStreet,Consumer Portal,Bangalore,Y Combinator,Seed Funding,"1,20,000"
18-09-17,The Moms Co,eCommerce,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,"10,00,000"
19-09-17,High Radius,Technology,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,"5,00,00,000"
21-09-17,SaveBC,Finance,Gaya,Incofin Investment Management.,Private Equity,"60,00,000"
21-09-17,Homergize,eCommerce,Bangalore,LG Chandrasekhar,Private Equity,"10,00,000"
22-09-17,Yatra.com,eCommerce,Gurgaon,InnoVen Capital India,Debt Funding,"1,54,00,000"
25-09-17,Synup,Technology,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,"60,00,000"
25-09-17,Rapido,Consumer Internet,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,"4,22,000"
25-09-17,Sportobuddy,Consumer Internet,Mumbai,Mehul Shah,Seed Funding,"1,50,000"
